"","Race","Region","EDUC","Income"
"326","White","Midwest","Secondary","20,000-39,999"
"327","White","South","Masters","75,000-99,999"
"328","White","Midwest","Bachelors","60,000-74,999"
"329","White","South","Bachelors","75,000-99,999"
"330","Asian/Pacific Islander","South","Secondary","150,000 +"
"331","White","South","Bachelors","60,000-74,999"
"332","White","Northeast","Secondary","20,000-39,999"
"333","White","Midwest","Bachelors","60,000-74,999"
"334","White","West","Masters","150,000 +"
"335","White","Midwest","Masters",NA
"336","White","Midwest","Masters","100,000-149,999"
"337","White","Northeast","Secondary","100,000-149,999"
"338","Asian/Pacific Islander","South","Bachelors","60,000-74,999"
"339","White","South","Primary","1-19,999"
"340","White","South","Bachelors","75,000-99,999"
"341","White","South","Bachelors","100,000-149,999"
"342","White","South","Secondary","60,000-74,999"
"343","White","West","Masters","40,000-59,999"
"344","Black","South","Primary","1-19,999"
"345","Other","Midwest","Professional","150,000 +"
"346","White","Midwest","Bachelors","100,000-149,999"
"347","Black","South","Masters","100,000-149,999"
"348","White","Northeast","Masters","40,000-59,999"
"349","White","Midwest","Bachelors","100,000-149,999"
"350","Black","South","Masters","60,000-74,999"
"351","Hispanic","South","Secondary","75,000-99,999"
"352","Asian/Pacific Islander","South","Masters","1-19,999"
"353","White","Midwest","Bachelors","20,000-39,999"
"354","Black","Midwest","Bachelors","75,000-99,999"
"355","White","South","Bachelors","40,000-59,999"
"356","White","South","Secondary","20,000-39,999"
"357","White","West","Bachelors","60,000-74,999"
"358","Black","South","Secondary","20,000-39,999"
"359","Hispanic","West","Bachelors","100,000-149,999"
"360","White","South","Bachelors","100,000-149,999"
"361","White","Midwest","Professional","75,000-99,999"
"362","White","Midwest","Secondary","150,000 +"
"363","White","Midwest","Bachelors",NA
"364","White","Midwest","Secondary",NA
"365","Other","West","Secondary","40,000-59,999"
"366","White","West","Secondary","40,000-59,999"
"367","White","Midwest","Bachelors","100,000-149,999"
"368","White","West","Secondary","40,000-59,999"
"369","Black","South","Primary","1-19,999"
"370","White","South","Primary","1-19,999"
"371","White","South","Masters","100,000-149,999"
"372","White","South","Masters","150,000 +"
"373","White","West","Professional","60,000-74,999"
"374","Black","Midwest","Primary","20,000-39,999"
"375","Other","Midwest","Primary","20,000-39,999"
"376","White","South","Bachelors","150,000 +"
"377","White","South","Bachelors","150,000 +"
"378","White","Midwest","Bachelors","100,000-149,999"
"379","White","Midwest","Masters","100,000-149,999"
"380","Hispanic","South","Bachelors","100,000-149,999"
"381","Black","South","Secondary","1-19,999"
"382","Other","South","Secondary","100,000-149,999"
"383","Black","South","Secondary","1-19,999"
"384","White","Midwest","Secondary","40,000-59,999"
"385","Hispanic","Midwest","Professional","20,000-39,999"
"386","Hispanic","Midwest","Secondary",NA
"387","Black","South","Secondary",NA
"388","Asian/Pacific Islander","South","Masters","60,000-74,999"
"389","Hispanic","South","Secondary","40,000-59,999"
"390","White","Midwest","Secondary","100,000-149,999"
"391","Hispanic","Midwest","Primary","40,000-59,999"
"392","Black","South","Secondary","1-19,999"
"393","Other","Midwest","Primary",NA
"394","White","South","Primary","100,000-149,999"
"395","Other","South","Primary","1-19,999"
"396","Hispanic","Midwest","Secondary","1-19,999"
"397","White","Midwest","Secondary","40,000-59,999"
"398","White","South","Secondary","20,000-39,999"
"399","White","Midwest","Secondary",NA
"400","White","Midwest","Bachelors","60,000-74,999"
"401","White","West","Professional","75,000-99,999"
"402","White","South","Secondary","40,000-59,999"
"403","Other","South","Secondary","40,000-59,999"
"404","Other","South","Secondary","40,000-59,999"
"405","Hispanic","West","Secondary","1-19,999"
"406","White","South","Bachelors","100,000-149,999"
"407","Other","South","Primary","1-19,999"
"408","White","South","Secondary","20,000-39,999"
"409","White","South","Professional","40,000-59,999"
"410","White","Northeast","Secondary","20,000-39,999"
"411","Hispanic","Midwest","Primary","1-19,999"
"412","White","South","Masters","60,000-74,999"
"413","White","South","Primary","20,000-39,999"
"414","White","West","Bachelors",NA
"415","Hispanic","Midwest","Bachelors","40,000-59,999"
"416","White","South","Secondary","1-19,999"
"417","White","Midwest","Secondary","60,000-74,999"
"418","White","South","Bachelors","100,000-149,999"
"419","White","Midwest","Professional","40,000-59,999"
"420","White","South","Secondary","60,000-74,999"
"421","White","Midwest","Secondary","60,000-74,999"
"422","Black","Midwest","Secondary","60,000-74,999"
"423","Hispanic","South","Secondary","1-19,999"
"424","White","West","Bachelors","150,000 +"
"425","Black","South","Secondary","60,000-74,999"
"426","White","Midwest","Secondary","20,000-39,999"
"427","White","Midwest","Masters","40,000-59,999"
"428","Hispanic","South","Secondary","1-19,999"
"429","White","South","Secondary",NA
"430","White","Midwest","Secondary","20,000-39,999"
"431","White","Northeast","Secondary","40,000-59,999"
"432","White","West","Bachelors","100,000-149,999"
"433","Other","West","Secondary",NA
"434","White","Midwest","Bachelors","100,000-149,999"
"435","White","Midwest","Secondary","100,000-149,999"
"436","White","Northeast","Secondary","20,000-39,999"
"437","Asian/Pacific Islander","Midwest","Professional","150,000 +"
"438","White","South","Secondary",NA
"439","Hispanic","Midwest","Professional","75,000-99,999"
"440","Black","West","Professional","60,000-74,999"
"441","White","Midwest","Primary","1-19,999"
"442","White","Midwest","Bachelors","75,000-99,999"
"443","Black","South","Secondary",NA
"444","White","Midwest","Professional","60,000-74,999"
"445","Hispanic","South","Primary","20,000-39,999"
"446","White","Midwest","Secondary","75,000-99,999"
"447","White","West","Bachelors","20,000-39,999"
"448","Hispanic","West","Secondary","20,000-39,999"
"449","White","South","Professional","100,000-149,999"
"450","White","South","Bachelors","75,000-99,999"
"451","Black","South","Secondary","1-19,999"
"452","Black","Midwest","Primary","40,000-59,999"
"453","White","Northeast","Secondary","20,000-39,999"
"454","White","South","Professional","60,000-74,999"
"455","Other","South","Secondary","20,000-39,999"
"456","White","Northeast","Bachelors","150,000 +"
"457","Hispanic","South","Bachelors",NA
"458","Black","South","Secondary","40,000-59,999"
"459","White","Midwest","Bachelors","100,000-149,999"
"460","White","Midwest","Secondary","20,000-39,999"
"461","Black","Midwest","Bachelors","20,000-39,999"
"462","Other","Northeast",NA,NA
"463","White","Northeast","Secondary","60,000-74,999"
"464","White","West","Secondary","1-19,999"
"465","White","South","Professional","1-19,999"
"466","White","South","Secondary","75,000-99,999"
"467","Other","South","Primary","40,000-59,999"
"468","White","South","Masters","150,000 +"
"469","White","Northeast","Masters","150,000 +"
"470","Other","Midwest","Professional","20,000-39,999"
"471","White","South","Primary","75,000-99,999"
"472","White","South","Professional","75,000-99,999"
"473","White","Midwest","Secondary","40,000-59,999"
"474","Hispanic","South","Secondary","1-19,999"
"475","White","South","Masters","40,000-59,999"
"476","White","Midwest","Bachelors","75,000-99,999"
"477","Black","South","Masters","20,000-39,999"
"478","White","Northeast","Professional","20,000-39,999"
"479","Black","South","Primary",NA
"480","White","West","Secondary","100,000-149,999"
"481","Hispanic","South","Bachelors","40,000-59,999"
"482","White","West","Secondary","60,000-74,999"
"483","White","South","Secondary","1-19,999"
"484","Black","South","Primary","20,000-39,999"
"485","White","South","Masters","40,000-59,999"
"486","Hispanic","Midwest","Secondary","150,000 +"
"487","White","Northeast","Secondary","75,000-99,999"
"488","White","South","Secondary","40,000-59,999"
"489","White","South","Secondary",NA
"490","Black","South","Secondary","20,000-39,999"
"491","White","West","Secondary","150,000 +"
"492","Black","South","Secondary","40,000-59,999"
"493","White","Northeast","Bachelors","40,000-59,999"
"494","White","Midwest","Secondary","40,000-59,999"
"495","Black","South","Secondary","20,000-39,999"
"496","White","Northeast","Bachelors","100,000-149,999"
"497","Black","South","Primary",NA
"498","Hispanic","Midwest","Secondary","150,000 +"
"499","White","South","Bachelors","75,000-99,999"
"500","White","South","Bachelors","100,000-149,999"
"501","Asian/Pacific Islander","West","Bachelors","20,000-39,999"
"502","Hispanic","South","Secondary","75,000-99,999"
"503","Hispanic","Midwest","Masters","1-19,999"
"504","White","Midwest","Masters","150,000 +"
"505","Hispanic","West","Professional","40,000-59,999"
"506","White","West","Secondary","150,000 +"
"507","Asian/Pacific Islander","South","Professional","75,000-99,999"
"508","White","South","Secondary","20,000-39,999"
"509","White","South","Bachelors",NA
"510","White","Midwest","Masters","75,000-99,999"
"511","Hispanic","West","Primary",NA
"512","White","Northeast","Secondary","60,000-74,999"
"513","White","Northeast","Primary",NA
"514","White","Midwest","Professional","100,000-149,999"
"515","White","Midwest","Bachelors","150,000 +"
"516","Black","South","Secondary","1-19,999"
"517","Black","South","Professional","1-19,999"
"518","White","South","Masters","150,000 +"
"519","White","South","Professional","100,000-149,999"
"520","White","Northeast","Professional","20,000-39,999"
"521","White","South","Primary","20,000-39,999"
"522","Asian/Pacific Islander","Midwest","Secondary","1-19,999"
"523","White","Midwest","Professional","60,000-74,999"
"524","Asian/Pacific Islander","West","Bachelors","150,000 +"
"525","Hispanic","South","Secondary","60,000-74,999"
"526","Hispanic","South","Secondary","20,000-39,999"
"527","Black","South","Secondary","60,000-74,999"
"528","Asian/Pacific Islander","South","Secondary","40,000-59,999"
"529","Asian/Pacific Islander","West","Secondary","40,000-59,999"
"530","White","Midwest","Professional",NA
"531","Hispanic","Northeast","Secondary",NA
"532","White","Northeast","Professional","40,000-59,999"
"533","White","South","Professional","150,000 +"
"534","Asian/Pacific Islander","South","Bachelors","40,000-59,999"
"535","Other","Northeast","Secondary","40,000-59,999"
"536","Black","South","Primary","1-19,999"
"537","White","West","Secondary","75,000-99,999"
"538","Black","South","Secondary","75,000-99,999"
"539","White","Midwest","Masters","100,000-149,999"
"540","White","South","Primary","1-19,999"
"541","White","Northeast","Bachelors","60,000-74,999"
"542","White","South","Masters","20,000-39,999"
"543","White","Midwest","Professional","100,000-149,999"
"544","White","Northeast","Bachelors","1-19,999"
"545","White","South","Masters","150,000 +"
"546","White","Northeast","Bachelors","100,000-149,999"
"547","White","South","Bachelors","60,000-74,999"
"548","White","South","Bachelors","40,000-59,999"
"549","Hispanic","West","Secondary","20,000-39,999"
"550","White","Midwest","Primary","20,000-39,999"
"551","Hispanic","West","Secondary","60,000-74,999"
"552","White","Midwest","Bachelors",NA
"553","White","South","Secondary","40,000-59,999"
"554","White","Midwest","Secondary","100,000-149,999"
"555","White","Midwest","Professional","40,000-59,999"
"556","Asian/Pacific Islander","Midwest","Bachelors","60,000-74,999"
"557","White","South","Primary","100,000-149,999"
"558","Black","South","Bachelors","75,000-99,999"
"559","White","Midwest","Professional","100,000-149,999"
"560","Asian/Pacific Islander","Midwest","Bachelors","100,000-149,999"
"561","Asian/Pacific Islander","West","Masters","60,000-74,999"
"562","White","South","Bachelors","100,000-149,999"
"563","White","Midwest","Secondary","20,000-39,999"
"564","White","South","Secondary","1-19,999"
"565","Black","South","Masters","75,000-99,999"
"566","White","Midwest","Professional",NA
"567","White","South","Secondary","20,000-39,999"
"568","Hispanic","South","Secondary","20,000-39,999"
"569","White","Northeast","Secondary","20,000-39,999"
"570","White","Midwest","Bachelors","150,000 +"
"571","Black","South","Secondary","40,000-59,999"
"572","Black","South","Secondary","20,000-39,999"
"573","White","Midwest","Professional","150,000 +"
"574","White","Midwest","Bachelors","75,000-99,999"
"575",NA,"South",NA,NA
"576","White","West","Secondary","40,000-59,999"
"577","Black","South","Secondary","100,000-149,999"
"578","White","Midwest","Secondary","40,000-59,999"
"579","White","West","Secondary","150,000 +"
"580","White","Northeast","Secondary","1-19,999"
"581","Black","South","Bachelors","60,000-74,999"
"582","Hispanic","Northeast","Secondary","40,000-59,999"
"583","White","Midwest","Secondary","60,000-74,999"
"584","White","Midwest","Professional","40,000-59,999"
"585","White","South","Bachelors","75,000-99,999"
"586","Asian/Pacific Islander","West","Secondary","75,000-99,999"
"587","Hispanic","Midwest","Secondary","20,000-39,999"
"588","White","Midwest","Secondary","150,000 +"
"589","White","Midwest","Bachelors","100,000-149,999"
"590","White","Midwest","Secondary","100,000-149,999"
"591","White","South","Secondary","1-19,999"
"592","White","South","Masters","100,000-149,999"
"593","Hispanic","South","Secondary","1-19,999"
"594","Black","South","Bachelors","100,000-149,999"
"595","White","Midwest","Secondary","20,000-39,999"
"596","White","Northeast","Bachelors",NA
"597","White","Midwest","Secondary","20,000-39,999"
"598","Asian/Pacific Islander","Northeast","Professional","100,000-149,999"
"599","Black","South","Secondary","100,000-149,999"
"600","White","Midwest","Professional","150,000 +"
"601","Black","South","Bachelors","100,000-149,999"
"602","White","Midwest","Secondary","20,000-39,999"
"603","White","Midwest","Secondary","150,000 +"
"604","Asian/Pacific Islander","South","Secondary","20,000-39,999"
"605","White","Midwest","Secondary","1-19,999"
"606","White","South","Secondary","40,000-59,999"
"607","Black","South","Secondary","75,000-99,999"
"608","White","Midwest","Secondary","40,000-59,999"
"609","Black","West","Secondary","60,000-74,999"
"610","White","West","Secondary","1-19,999"
"611","Hispanic","West","Secondary","1-19,999"
"612","Black","South","Secondary","1-19,999"
"613","White","West","Masters","150,000 +"
"614","White","South","Bachelors","100,000-149,999"
"615","Asian/Pacific Islander","Northeast","Masters","150,000 +"
"616","White","Midwest","Secondary","20,000-39,999"
"617","White","West","Primary","40,000-59,999"
"618","White","West","Secondary","40,000-59,999"
"619","White","South","Secondary",NA
"620","Other","South","Professional","20,000-39,999"
"621","Hispanic","South","Primary","20,000-39,999"
"622","White","Northeast","Secondary",NA
"623","White","South","Bachelors","150,000 +"
"624","Black","South","Bachelors","150,000 +"
"625","White","South","Primary","20,000-39,999"
"626","White","Northeast","Secondary","1-19,999"
"627","White","South","Masters","100,000-149,999"
"628","Asian/Pacific Islander","Northeast","Secondary","60,000-74,999"
"629","White","Northeast","Bachelors","150,000 +"
"630","White","Midwest","Bachelors","40,000-59,999"
"631","Hispanic","West","Bachelors",NA
"632","Black","Midwest","Secondary","20,000-39,999"
