"","Race","Region","EDUC","Income","Gender","Income_cont"
"152","Black","Midwest","Primary",NA,"Male",NA
"153","White","South","Associates","10,000-19,999","Male",10000
"154","Other","South","Primary","30,000-39,999","Male",35000
"155","White","Midwest","Masters","150,000 +","Female",2e+05
"156","Black","South","Masters","100,000-149,999","Male",125000
"157","White","South","Masters","10,000-19,999","Male",10000
"158","Hispanic","South","Secondary","30,000-39,999","Female",35000
"159","White","Northeast","Secondary","75,000-99,999","Male",87500
"160","Asian/Pacific Islander","West","Secondary","40,000- 49,999","Female",45000
"161","White","Northeast","PhD","100,000-149,999","Female",125000
"162","Hispanic","West","Secondary","40,000-59,999","Female",55000
"163","White","Midwest","Secondary","20,000- 29,999","Female",25000
"164","White","Northeast","Associates","150,000 +","Female",2e+05
"165","Black","South","Secondary","1-9,999","Female",5000
"166","Black","West","Secondary","75,000-99,999","Male",87500
"167","White","South","PhD","100,000-149,999","Male",125000
"168","Hispanic","West","Secondary","40,000-59,999","Female",55000
"169","White","Northeast","Masters","20,000- 29,999","Female",25000
"170","Black","Northeast","Secondary","75,000-99,999","Male",87500
"171","White","Midwest","Bachelors","75,000-99,999","Female",87500
"172","White","West","Bachelors","60,000-74,999","Female",67500
"173","White","South","Bachelors","60,000-74,999","Male",67500
"174","White","Midwest","Secondary","10,000-19,999","Male",10000
"175","White","Midwest","Bachelors","100,000-149,999","Male",125000
"176","White","Midwest","Bachelors","30,000-39,999","Female",35000
"177","Hispanic","South","Secondary","150,000 +","Female",2e+05
"178","White","Midwest","Bachelors","75,000-99,999","Female",87500
"179","White","Northeast","Secondary","1-9,999","Male",5000
"180","White","Midwest","Associates",NA,"Male",NA
"181","Hispanic","South","Primary","40,000-59,999","Female",55000
"182","White","South","Masters","100,000-149,999","Female",125000
"183","White","West","Bachelors","75,000-99,999","Male",87500
"184","White","Midwest","Associates","30,000-39,999","Male",35000
"185","White","Midwest","Bachelors","10,000-19,999","Female",10000
"186","Black","Midwest","Associates","40,000- 49,999","Female",45000
"187","White","South","Bachelors","100,000-149,999","Male",125000
"188","Hispanic","West","Masters","100,000-149,999","Female",125000
"189","White","Midwest","Masters","75,000-99,999","Female",87500
"190","White","Midwest","Secondary","30,000-39,999","Male",35000
"191","Hispanic","West","Secondary","40,000- 49,999","Male",45000
"192","White","West","Bachelors","150,000 +","Male",2e+05
"193","White","South","Associates","75,000-99,999","Female",87500
"194","Hispanic","Midwest","Masters","75,000-99,999","Female",87500
"195","Hispanic","West","Masters","75,000-99,999","Male",87500
"196",NA,"Midwest",NA,NA,NA,NA
"197","White","South","Masters","150,000 +","Male",2e+05
"198","White","Midwest","Bachelors","60,000-74,999","Male",67500
"199","Hispanic","West","Associates","100,000-149,999","Female",125000
"200","White","Northeast","Secondary","60,000-74,999","Female",67500
"201","Black","Midwest","Secondary",NA,"Male",NA
"202","White","Northeast","Bachelors","40,000- 49,999","Male",45000
"203","White","South","Associates","20,000- 29,999","Female",25000
"204","White","West","Secondary","100,000-149,999","Female",125000
"205","Hispanic","Midwest","Secondary","10,000-19,999","Female",10000
"206","White","South","Masters","40,000-59,999","Female",55000
"207","Asian/Pacific Islander","Northeast","Bachelors",NA,"Female",NA
"208","White","South","Secondary",NA,"Male",NA
"209","White","West","Secondary","20,000- 29,999","Male",25000
"210","White","West","Secondary","150,000 +","Male",2e+05
"211","White","South","Bachelors","100,000-149,999","Female",125000
"212","White","Midwest","Primary","30,000-39,999","Male",35000
"213","White","West","Masters","100,000-149,999","Male",125000
"214","White","South","Secondary","40,000-59,999","Male",55000
"215","Hispanic","Northeast","Primary","20,000- 29,999","Male",25000
"216","White","Midwest","Bachelors","100,000-149,999","Male",125000
"217","White","Midwest","Secondary","30,000-39,999","Male",35000
"218",NA,"South",NA,NA,NA,NA
"219","Black","South","Masters","40,000-59,999","Female",55000
"220","Black","South","Masters","75,000-99,999","Female",87500
"221","White","West","Bachelors","100,000-149,999","Male",125000
"222","White","Midwest","Secondary","20,000- 29,999","Male",25000
"223","White","Midwest","Associates","60,000-74,999","Male",67500
"224","Black","South","Associates",NA,"Female",NA
"225","Black","South","Secondary","30,000-39,999","Male",35000
"226","White","South","Bachelors",NA,"Male",NA
"227","White","West","Bachelors","150,000 +","Female",2e+05
"228","White","South","Primary","100,000-149,999","Male",125000
"229","Black","South","Secondary","40,000- 49,999","Female",45000
"230","White","West","Primary","150,000 +","Male",2e+05
"231",NA,"Midwest",NA,NA,NA,NA
"232","Black","West","Secondary","60,000-74,999","Female",67500
"233","White","South","Secondary","10,000-19,999","Male",10000
"234","White","South","Masters","150,000 +","Female",2e+05
"235","White","South","Secondary",NA,"Female",NA
"236","White","Northeast","Secondary","10,000-19,999","Female",10000
"237","Black","South","Secondary",NA,"Female",NA
"238","Black","West","Associates","40,000-59,999","Male",55000
"239","White","Midwest","Secondary","30,000-39,999","Female",35000
"240","White","Northeast","Bachelors","100,000-149,999","Female",125000
"241","Hispanic","South","Associates","150,000 +","Female",2e+05
"242","White","South","Bachelors",NA,"Male",NA
"243","White","Midwest","Bachelors","40,000-59,999","Male",55000
"244","Black","West","Secondary","10,000-19,999","Male",10000
"245","White","South","Associates","100,000-149,999","Female",125000
"246","White","South","Associates","40,000- 49,999","Female",45000
"247","White","Northeast","Bachelors","60,000-74,999","Female",67500
"248",NA,"West",NA,NA,NA,NA
"249",NA,"Northeast",NA,NA,NA,NA
"250","White","Midwest","Associates","75,000-99,999","Male",87500
"251","White","Midwest","Secondary","60,000-74,999","Male",67500
"252","Black","South","Secondary","1-9,999","Female",5000
"253","White","South","Bachelors","20,000- 29,999","Female",25000
"254","Black","South","Secondary","10,000-19,999","Female",10000
"255","White","South","Secondary","40,000-59,999","Female",55000
"256","White","South","Masters","150,000 +","Female",2e+05
"257","Other","Midwest","Associates","20,000- 29,999","Female",25000
"258","White","West","Secondary","20,000- 29,999","Male",25000
"259","White","Northeast","Secondary","20,000- 29,999","Female",25000
"260","Black","Midwest","Secondary","20,000- 29,999","Male",25000
"261","Black","South","Primary","1-9,999","Female",5000
"262","White","South","Bachelors","60,000-74,999","Female",67500
"263","White","South","Secondary","20,000- 29,999","Female",25000
"264","White","West","Bachelors","10,000-19,999","Male",10000
"265","Other","Midwest","Secondary",NA,"Male",NA
"266",NA,"Midwest",NA,NA,NA,NA
"267","White","South","Masters","150,000 +","Female",2e+05
"268","White","West","Bachelors","30,000-39,999","Female",35000
"269","White","Northeast","Masters","150,000 +","Female",2e+05
"270","White","South","Secondary","20,000- 29,999","Male",25000
"271","White","Northeast","Secondary",NA,"Female",NA
"272","Black","Midwest","Secondary","20,000- 29,999","Male",25000
"273","Hispanic","South","Associates","10,000-19,999","Female",10000
"274","White","Midwest","Associates","75,000-99,999","Female",87500
"275","White","West","Secondary","100,000-149,999","Female",125000
"276","White","Midwest","Bachelors","100,000-149,999","Female",125000
"277","White","Midwest","Associates","150,000 +","Female",2e+05
"278","Hispanic","South","Primary","1-9,999","Female",5000
"279","White","Midwest","Associates","150,000 +","Female",2e+05
"280","White","Midwest","Associates",NA,"Female",NA
"281","White","South","Secondary","60,000-74,999","Female",67500
"282","White","South","Secondary","40,000- 49,999","Male",45000
"283","White","Northeast","Bachelors","75,000-99,999","Female",87500
"284","White","South","Secondary","150,000 +","Male",2e+05
"285","White","South","Secondary","20,000- 29,999","Female",25000
"286","Black","Midwest","Secondary",NA,"Male",NA
"287","White","West","Secondary","20,000- 29,999","Female",25000
"288","White","Midwest","Bachelors","40,000- 49,999","Female",45000
"289","Hispanic","South","Bachelors","30,000-39,999","Male",35000
"290","White","South","Masters","75,000-99,999","Female",87500
"291","White","South","Associates","75,000-99,999","Female",87500
"292","White","Midwest","Primary","30,000-39,999","Male",35000
"293","White","West","Bachelors","75,000-99,999","Female",87500
"294","Hispanic","West","Secondary","60,000-74,999","Female",67500
"295","Other","West","Secondary","20,000- 29,999","Male",25000
"296","White","South","Associates","10,000-19,999","Female",10000
"297","Other","West","Secondary","60,000-74,999","Male",67500
"298","White","West","Secondary","1-9,999","Female",5000
"299","White","South","Bachelors","1-9,999","Male",5000
"300","White","South","Associates","1-9,999","Male",5000
"301","Black","South","Secondary","20,000- 29,999","Male",25000
"302","White","South","Associates","100,000-149,999","Female",125000
"303","Hispanic","South","Bachelors","150,000 +","Male",2e+05
"304","Other","Midwest","Secondary","20,000- 29,999","Female",25000
"305","White","Midwest","Associates","75,000-99,999","Female",87500
"306","Black","South","Associates","60,000-74,999","Male",67500
"307","White","South","Bachelors","75,000-99,999","Female",87500
"308","Other","South","Secondary",NA,"Female",NA
"309","White","West","Masters","150,000 +","Female",2e+05
"310","White","Midwest","Secondary","1-9,999","Female",5000
"311","White","West","Bachelors","60,000-74,999","Male",67500
"312","White","Northeast","Masters","40,000- 49,999","Female",45000
"313","White","West","Bachelors","100,000-149,999","Male",125000
"314","Other","South","Secondary",NA,"Male",NA
"315","White","South","Masters","60,000-74,999","Male",67500
"316","Asian/Pacific Islander","South","PhD","100,000-149,999","Female",125000
"317","White","West","Secondary","60,000-74,999","Male",67500
"318","White","Northeast","Masters","100,000-149,999","Female",125000
"319","White","South","Masters","40,000-59,999","Male",55000
"320","White","Midwest","Primary","20,000- 29,999","Female",25000
"321","Hispanic","South","Bachelors","60,000-74,999","Female",67500
"322","Hispanic","South","Bachelors","150,000 +","Female",2e+05
"323","White","Midwest","Associates","60,000-74,999","Female",67500
"324","White","South","Secondary","60,000-74,999","Female",67500
"325","White","Midwest","Secondary","60,000-74,999","Female",67500
"326","White","South","Secondary","20,000- 29,999","Female",25000
"327","White","South","Bachelors",NA,"Female",NA
"328","White","South","Secondary","20,000- 29,999","Male",25000
"329","Asian/Pacific Islander","South","Masters",NA,"Male",NA
"330","White","Northeast","Primary","150,000 +","Male",2e+05
"331","White","South","Secondary",NA,"Male",NA
"332","Hispanic","Midwest","Bachelors","20,000- 29,999","Male",25000
"333","Black","South","Primary","40,000-59,999","Male",55000
"334","White","South","Associates","75,000-99,999","Female",87500
"335","Black","South","Secondary","40,000-59,999","Male",55000
"336","White","South","Associates","150,000 +","Male",2e+05
"337","White","Midwest","Primary","10,000-19,999","Female",10000
"338","Asian/Pacific Islander","Midwest","Secondary","20,000- 29,999","Female",25000
"339","Asian/Pacific Islander","West","Masters","150,000 +","Female",2e+05
"340","White","Midwest","Secondary","30,000-39,999","Female",35000
"341","White","South","Masters","75,000-99,999","Female",87500
"342","White","Midwest","Bachelors","60,000-74,999","Female",67500
"343","White","South","Bachelors","75,000-99,999","Female",87500
"344","Asian/Pacific Islander","South","Associates","150,000 +","Female",2e+05
"345","White","South","Bachelors","60,000-74,999","Female",67500
"346","White","Northeast","Secondary","30,000-39,999","Male",35000
"347","White","Midwest","Bachelors","60,000-74,999","Male",67500
"348","White","West","Masters","150,000 +","Male",2e+05
"349","White","Midwest","Masters",NA,"Female",NA
"350","White","Midwest","Masters","100,000-149,999","Male",125000
"351","White","Northeast","Secondary","100,000-149,999","Female",125000
"352","Asian/Pacific Islander","South","Bachelors","60,000-74,999","Male",67500
"353","White","South","Primary","10,000-19,999","Female",10000
"354","White","South","Bachelors","75,000-99,999","Female",87500
"355","White","South","Bachelors","100,000-149,999","Male",125000
"356","White","South","Secondary","60,000-74,999","Female",67500
"357","White","West","Masters","40,000-59,999","Female",55000
"358","Black","South","Primary","1-9,999","Female",5000
"359","Other","Midwest","Associates","150,000 +","Female",2e+05
"360","White","Midwest","Bachelors","100,000-149,999","Female",125000
"361","Black","South","Masters","100,000-149,999","Male",125000
"362","White","Northeast","Masters","40,000-59,999","Female",55000
"363","White","Midwest","Bachelors","100,000-149,999","Female",125000
"364","Black","South","Masters","60,000-74,999","Male",67500
"365","Hispanic","South","Secondary","75,000-99,999","Male",87500
"366","Asian/Pacific Islander","South","Masters","10,000-19,999","Male",10000
"367","White","Midwest","Bachelors","30,000-39,999","Male",35000
"368","Black","Midwest","Bachelors","75,000-99,999","Male",87500
"369","White","South","Bachelors","40,000-59,999","Male",55000
"370","White","South","Secondary","20,000- 29,999","Female",25000
"371","White","West","Bachelors","60,000-74,999","Male",67500
"372","Black","South","Associates","20,000- 29,999","Female",25000
"373","Hispanic","West","Bachelors","100,000-149,999","Female",125000
"374","White","South","Bachelors","100,000-149,999","Male",125000
"375","White","Midwest","Associates","75,000-99,999","Female",87500
"376","White","Midwest","Secondary","150,000 +","Female",2e+05
"377","White","Midwest","Bachelors",NA,"Male",NA
"378","White","Midwest","Secondary",NA,"Male",NA
"379","Other","West","Associates","40,000-59,999","Female",55000
"380",NA,"West",NA,NA,NA,NA
"381","White","West","Secondary","40,000-59,999","Female",55000
"382","White","Midwest","Bachelors","100,000-149,999","Male",125000
"383","White","West","Secondary","40,000-59,999","Female",55000
"384","Black","South","Primary","1-9,999","Female",5000
"385","White","South","Primary","10,000-19,999","Female",10000
"386","White","South","Masters","100,000-149,999","Male",125000
"387","White","South","Masters","150,000 +","Male",2e+05
"388","White","West","Associates","60,000-74,999","Female",67500
"389","Black","Midwest","Primary","20,000- 29,999","Female",25000
"390","Other","Midwest","Primary","20,000- 29,999","Male",25000
"391","White","South","Bachelors","150,000 +","Male",2e+05
"392","White","South","Bachelors","150,000 +","Female",2e+05
"393","White","Midwest","Bachelors","100,000-149,999","Male",125000
"394","White","Midwest","Masters","100,000-149,999","Male",125000
"395","Hispanic","South","Bachelors","100,000-149,999","Female",125000
"396","Black","South","Secondary","10,000-19,999","Female",10000
"397","Other","South","Secondary","100,000-149,999","Female",125000
"398",NA,"Midwest",NA,NA,NA,NA
"399","Black","South","Secondary","1-9,999","Male",5000
"400","White","Midwest","Secondary","40,000- 49,999","Male",45000
"401","Hispanic","Midwest","Associates","30,000-39,999","Female",35000
"402","Hispanic","Midwest","Secondary",NA,"Female",NA
"403","Black","South","Secondary",NA,"Male",NA
"404","Asian/Pacific Islander","South","Masters","60,000-74,999","Male",67500
"405","Hispanic","South","Secondary","40,000-59,999","Male",55000
"406","White","Midwest","Secondary","100,000-149,999","Male",125000
"407","Hispanic","Midwest","Primary","40,000- 49,999","Female",45000
"408","Black","South","Secondary","10,000-19,999","Female",10000
"409","Other","Midwest","Primary",NA,"Female",NA
"410","White","South","Primary","100,000-149,999","Female",125000
"411","Other","South","Primary","1-9,999","Female",5000
"412",NA,"South",NA,NA,NA,NA
"413","Hispanic","Midwest","Associates","1-9,999","Male",5000
"414","White","Midwest","Secondary","40,000-59,999","Male",55000
"415","White","South","Secondary","20,000- 29,999","Female",25000
"416","White","Midwest","Associates",NA,"Female",NA
"417","White","Midwest","Bachelors","60,000-74,999","Female",67500
"418","White","West","Associates","75,000-99,999","Male",87500
"419",NA,"Northeast",NA,NA,NA,NA
"420","White","South","Secondary","40,000- 49,999","Male",45000
"421","Other","South","Associates","40,000- 49,999","Male",45000
"422","Other","South","Secondary","40,000- 49,999","Female",45000
"423","Hispanic","West","Secondary","1-9,999","Female",5000
"424","White","South","Bachelors","100,000-149,999","Male",125000
"425","Other","South","Primary","10,000-19,999","Female",10000
"426","White","South","Secondary","20,000- 29,999","Female",25000
"427","White","South","Associates","40,000- 49,999","Male",45000
"428","White","Northeast","Secondary","30,000-39,999","Male",35000
"429","Hispanic","Midwest","Primary","1-9,999","Male",5000
"430","White","South","Masters","60,000-74,999","Female",67500
"431","White","South","Primary","20,000- 29,999","Male",25000
"432","White","West","Bachelors",NA,"Male",NA
"433","Hispanic","Midwest","Bachelors","40,000-59,999","Female",55000
"434","White","South","Secondary","10,000-19,999","Female",10000
"435","White","Midwest","Secondary","60,000-74,999","Male",67500
"436","White","South","Bachelors","100,000-149,999","Female",125000
"437","White","Midwest","Associates","40,000-59,999","Male",55000
"438","White","South","Secondary","60,000-74,999","Male",67500
"439","White","Midwest","Associates","60,000-74,999","Female",67500
"440",NA,"South",NA,NA,NA,NA
"441","Black","Midwest","Secondary","60,000-74,999","Male",67500
"442","Hispanic","South","Associates","10,000-19,999","Female",10000
"443","White","West","Bachelors","150,000 +","Male",2e+05
"444","Black","South","Secondary","60,000-74,999","Female",67500
"445","White","Midwest","Secondary","20,000- 29,999","Male",25000
"446","White","Midwest","Masters","40,000- 49,999","Female",45000
"447","Hispanic","South","Associates","10,000-19,999","Male",10000
"448","White","South","Secondary",NA,"Female",NA
"449",NA,"Midwest",NA,NA,NA,NA
"450","White","Midwest","Secondary","20,000- 29,999","Female",25000
"451","White","Northeast","Secondary","40,000- 49,999","Female",45000
"452","White","West","Bachelors","100,000-149,999","Female",125000
"453","Other","West","Secondary",NA,"Female",NA
"454","White","Midwest","Bachelors","100,000-149,999","Male",125000
"455","White","Midwest","Secondary","100,000-149,999","Female",125000
"456","White","Northeast","Secondary","20,000- 29,999","Male",25000
"457","Asian/Pacific Islander","Midwest","PhD","150,000 +","Male",2e+05
"458","White","South","Secondary",NA,"Female",NA
"459","Hispanic","Midwest","Associates","75,000-99,999","Female",87500
"460","Black","West","PhD","60,000-74,999","Female",67500
"461","White","Midwest","Primary","10,000-19,999","Female",10000
"462","White","Midwest","Bachelors","75,000-99,999","Female",87500
"463","Black","South","Secondary",NA,"Female",NA
"464","White","Midwest","Associates","60,000-74,999","Male",67500
"465","Hispanic","South","Primary","20,000- 29,999","Male",25000
"466","White","Midwest","Associates","75,000-99,999","Female",87500
"467","White","West","Bachelors","30,000-39,999","Female",35000
"468","Hispanic","West","Secondary","20,000- 29,999","Female",25000
"469","White","South","Associates","100,000-149,999","Male",125000
"470","White","South","Bachelors","75,000-99,999","Female",87500
"471","Black","South","Secondary","1-9,999","Male",5000
"472","Black","Midwest","Primary","40,000- 49,999","Female",45000
"473","White","Northeast","Secondary","20,000- 29,999","Female",25000
"474","White","South","Associates","60,000-74,999","Female",67500
"475","Other","South","Secondary","20,000- 29,999","Female",25000
"476","White","Northeast","Bachelors","150,000 +","Female",2e+05
"477","Hispanic","South","Bachelors",NA,"Female",NA
"478","Black","South","Secondary","40,000-59,999","Male",55000
"479","White","Midwest","Bachelors","100,000-149,999","Female",125000
"480","White","Midwest","Secondary","20,000- 29,999","Female",25000
"481","Black","Midwest","Bachelors","30,000-39,999","Male",35000
"482","Other","Northeast",NA,NA,"Female",NA
"483","White","Northeast","Secondary","60,000-74,999","Male",67500
"484","White","West","Secondary","1-9,999","Female",5000
"485","White","South","Associates","10,000-19,999","Male",10000
"486","White","South","Secondary","75,000-99,999","Male",87500
"487","Other","South","Primary","40,000- 49,999","Male",45000
"488","White","South","Masters","150,000 +","Male",2e+05
"489","White","Northeast","Masters","150,000 +","Female",2e+05
"490","Other","Midwest","Associates","20,000- 29,999","Male",25000
"491","White","South","Primary","75,000-99,999","Male",87500
"492","White","South","Associates","75,000-99,999","Male",87500
"493","White","Midwest","Secondary","40,000- 49,999","Female",45000
"494","Hispanic","South","Secondary","1-9,999","Female",5000
"495","White","South","Masters","40,000- 49,999","Female",45000
"496","White","Midwest","Bachelors","75,000-99,999","Male",87500
"497","Black","South","Masters","30,000-39,999","Female",35000
"498","White","Northeast","Associates","30,000-39,999","Female",35000
"499","Black","South","Primary",NA,"Male",NA
"500","White","West","Associates","100,000-149,999","Male",125000
"501","Hispanic","South","Bachelors","40,000- 49,999","Female",45000
"502","White","West","Secondary","60,000-74,999","Male",67500
"503","White","South","Secondary","10,000-19,999","Female",10000
"504","Black","South","Primary","30,000-39,999","Female",35000
"505","White","South","Masters","40,000- 49,999","Male",45000
"506","Hispanic","Midwest","Secondary","150,000 +","Female",2e+05
"507","White","Northeast","Secondary","75,000-99,999","Female",87500
"508","White","South","Secondary","40,000-59,999","Female",55000
"509","White","South","Secondary",NA,"Female",NA
"510","Black","South","Secondary","20,000- 29,999","Male",25000
