"","Race","Region","EDUC","Gender","Income","Income_cont"
"83","Other","South","Professional","Female","40,000-59,999","55000"
"84","White","South","Masters","Female","150,000 +","200000"
"85","White","Northeast","Secondary","Male","20,000- 29,999","25000"
"86","White","West","Secondary","Male","30,000-39,999","35000"
"87","Hispanic","West","Secondary","Male","75,000-99,999","87500"
"88","White","Northeast","Secondary","Male","40,000- 49,999","45000"
"89","Hispanic","West","Professional","Female","100,000-149,999","125000"
"90","White","South","Secondary","Female","40,000-59,999","55000"
"91","Black","South","Secondary","Male","60,000-74,999","67500"
"92","White","Midwest","Masters","Female","75,000-99,999","87500"
"93","Black","South","Bachelors","Female","60,000-74,999","67500"
"94","White","Northeast","Secondary","Male","30,000-39,999","35000"
"95","Black","South","Bachelors","Female","75,000-99,999","87500"
"96","Other","West","Secondary","Male","10,000-19,999","10000"
"97","White","Midwest","Secondary","Male",NA,NA
"98","White","South","Primary","Female","10,000-19,999","10000"
"99","White","Northeast","Secondary","Female","40,000-59,999","55000"
"100","Other","Midwest","Secondary","Male","100,000-149,999","125000"
"101","White","Midwest","Secondary","Female","150,000 +","200000"
"102","Black","West","Professional","Male","30,000-39,999","35000"
"103","White","Midwest","Secondary","Female","1-9,999","5000"
"104","Asian/Pacific Islander","Northeast","Secondary","Male","60,000-74,999","67500"
"105","Black","South","Secondary","Female",NA,NA
"106","Black","Midwest","Bachelors","Male","150,000 +","200000"
"107","Hispanic","West","Bachelors","Female","150,000 +","200000"
"108","Hispanic","Midwest","Secondary","Female","40,000- 49,999","45000"
"109","White","West","Primary","Female","40,000-59,999","55000"
"110","Hispanic","West","Secondary","Female","60,000-74,999","67500"
"111","Black","South","Primary","Female",NA,NA
"112","White","Midwest","Masters","Female","30,000-39,999","35000"
"113","White","Northeast","Primary","Male","100,000-149,999","125000"
"114","White","South","Primary","Female","20,000- 29,999","25000"
"115","White","West","Professional","Male",NA,NA
"116","White","South","Primary","Male","1-9,999","5000"
"117","White","Northeast","Bachelors","Female","40,000- 49,999","45000"
"118","White","Northeast","Bachelors","Female","100,000-149,999","125000"
"119","Asian/Pacific Islander","West","Secondary","Male","75,000-99,999","87500"
"120","White","Midwest","Bachelors","Male","40,000- 49,999","45000"
"121","White","South","Secondary","Female","1-9,999","5000"
"122","White","Northeast","Professional","Female","40,000- 49,999","45000"
"123","White","Midwest","Secondary","Male","60,000-74,999","67500"
"124","White","Midwest","Primary","Male","40,000- 49,999","45000"
"125","White","Midwest","Secondary","Female","60,000-74,999","67500"
"126","White","South","Bachelors","Male","100,000-149,999","125000"
"127","White","Midwest","Secondary","Male","20,000- 29,999","25000"
"128","White","West","Masters","Male","100,000-149,999","125000"
"129","Black","West","Secondary","Female","10,000-19,999","10000"
"130","White","South","Secondary","Male","30,000-39,999","35000"
"131","Hispanic","West","Secondary","Female",NA,NA
"132","White","South","Secondary","Female","60,000-74,999","67500"
"133","Black","South","Secondary","Male",NA,NA
"134","White","South","Secondary","Male","40,000-59,999","55000"
"135","White","South","Secondary","Male","100,000-149,999","125000"
"136","White","Midwest","Secondary","Female","40,000-59,999","55000"
"137","White","Northeast","Bachelors","Female","20,000- 29,999","25000"
"138","Asian/Pacific Islander","Midwest","Secondary","Male","60,000-74,999","67500"
"139","Black","Midwest","Primary","Female","1-9,999","5000"
"140","White","South","Secondary","Female","10,000-19,999","10000"
"141","White","South","Bachelors","Female","75,000-99,999","87500"
"142","White","Northeast","Bachelors","Female","100,000-149,999","125000"
"143","White","Midwest","Secondary","Female",NA,NA
"144","Black","Midwest","Primary","Male",NA,NA
"145","White","South","Professional","Male","10,000-19,999","10000"
"146","Other","South","Primary","Male","30,000-39,999","35000"
"147","White","Midwest","Masters","Female","150,000 +","200000"
"148","Black","South","Masters","Male","100,000-149,999","125000"
"149","White","South","Masters","Male","10,000-19,999","10000"
"150","Hispanic","South","Secondary","Female","30,000-39,999","35000"
"151","White","Northeast","Secondary","Male","75,000-99,999","87500"
"152","Asian/Pacific Islander","West","Secondary","Female","40,000- 49,999","45000"
"153","White","Northeast","Professional","Female","100,000-149,999","125000"
"154","Hispanic","West","Secondary","Female","40,000-59,999","55000"
"155","White","Midwest","Secondary","Female","20,000- 29,999","25000"
"156","White","Northeast","Professional","Female","150,000 +","200000"
"157","Black","South","Secondary","Female","1-9,999","5000"
"158","Black","West","Secondary","Male","75,000-99,999","87500"
"159","White","South","Professional","Male","100,000-149,999","125000"
"160","Hispanic","West","Secondary","Female","40,000-59,999","55000"
"161","White","Northeast","Masters","Female","20,000- 29,999","25000"
"162","Black","Northeast","Secondary","Male","75,000-99,999","87500"
"163","White","Midwest","Bachelors","Female","75,000-99,999","87500"
"164","White","West","Bachelors","Female","60,000-74,999","67500"
"165","White","South","Bachelors","Male","60,000-74,999","67500"
"166","White","Midwest","Secondary","Male","10,000-19,999","10000"
"167","White","Midwest","Bachelors","Male","100,000-149,999","125000"
"168","White","Midwest","Bachelors","Female","30,000-39,999","35000"
"169","Hispanic","South","Secondary","Female","150,000 +","200000"
"170","White","Midwest","Bachelors","Female","75,000-99,999","87500"
"171","White","Northeast","Secondary","Male","1-9,999","5000"
"172","White","Midwest","Secondary","Male",NA,NA
"173","Hispanic","South","Primary","Female","40,000-59,999","55000"
"174","White","South","Masters","Female","100,000-149,999","125000"
"175","White","West","Bachelors","Male","75,000-99,999","87500"
"176","White","Midwest","Professional","Male","30,000-39,999","35000"
"177","White","Midwest","Bachelors","Female","10,000-19,999","10000"
"178","Black","Midwest","Professional","Female","40,000- 49,999","45000"
"179","White","South","Bachelors","Male","100,000-149,999","125000"
"180","Hispanic","West","Masters","Female","100,000-149,999","125000"
"181","White","Midwest","Masters","Female","75,000-99,999","87500"
"182","White","Midwest","Secondary","Male","30,000-39,999","35000"
"183","Hispanic","West","Secondary","Male","40,000- 49,999","45000"
"184","White","West","Bachelors","Male","150,000 +","200000"
"185","White","South","Professional","Female","75,000-99,999","87500"
"186","Hispanic","Midwest","Masters","Female","75,000-99,999","87500"
"187","Hispanic","West","Masters","Male","75,000-99,999","87500"
"188","White","South","Masters","Male","150,000 +","200000"
"189","White","Midwest","Bachelors","Male","60,000-74,999","67500"
"190","Hispanic","West","Secondary","Female","100,000-149,999","125000"
"191","White","Northeast","Secondary","Female","60,000-74,999","67500"
"192","Black","Midwest","Secondary","Male",NA,NA
"193","White","Northeast","Bachelors","Male","40,000- 49,999","45000"
"194","White","South","Secondary","Female","20,000- 29,999","25000"
"195","White","West","Secondary","Female","100,000-149,999","125000"
"196","Hispanic","Midwest","Secondary","Female","10,000-19,999","10000"
"197","White","South","Masters","Female","40,000-59,999","55000"
"198","Asian/Pacific Islander","Northeast","Bachelors","Female",NA,NA
"199","White","South","Secondary","Male",NA,NA
"200","White","West","Secondary","Male","20,000- 29,999","25000"
"201","White","West","Secondary","Male","150,000 +","200000"
"202","White","South","Bachelors","Female","100,000-149,999","125000"
"203","White","Midwest","Primary","Male","30,000-39,999","35000"
"204","White","West","Masters","Male","100,000-149,999","125000"
"205","White","South","Secondary","Male","40,000-59,999","55000"
"206","Hispanic","Northeast","Primary","Male","20,000- 29,999","25000"
"207","White","Midwest","Bachelors","Male","100,000-149,999","125000"
"208","White","Midwest","Secondary","Male","30,000-39,999","35000"
"209","Black","South","Masters","Female","40,000-59,999","55000"
"210","Black","South","Masters","Female","75,000-99,999","87500"
"211","White","West","Bachelors","Male","100,000-149,999","125000"
"212","White","Midwest","Secondary","Male","20,000- 29,999","25000"
"213","White","Midwest","Professional","Male","60,000-74,999","67500"
"214","Black","South","Professional","Female",NA,NA
"215","Black","South","Secondary","Male","30,000-39,999","35000"
"216","White","South","Bachelors","Male",NA,NA
"217","White","West","Bachelors","Female","150,000 +","200000"
"218","White","South","Primary","Male","100,000-149,999","125000"
"219","Black","South","Secondary","Female","40,000- 49,999","45000"
"220","White","West","Primary","Male","150,000 +","200000"
"221","Black","West","Secondary","Female","60,000-74,999","67500"
"222","White","South","Secondary","Male","10,000-19,999","10000"
"223","White","South","Masters","Female","150,000 +","200000"
"224","White","South","Secondary","Female",NA,NA
"225","White","Northeast","Secondary","Female","10,000-19,999","10000"
"226","Black","South","Secondary","Female",NA,NA
"227","Black","West","Professional","Male","40,000-59,999","55000"
"228","White","Midwest","Secondary","Female","30,000-39,999","35000"
"229","White","Northeast","Bachelors","Female","100,000-149,999","125000"
"230","Hispanic","South","Professional","Female","150,000 +","200000"
"231","White","South","Bachelors","Male",NA,NA
"232","White","Midwest","Bachelors","Male","40,000-59,999","55000"
"233","Black","West","Secondary","Male","10,000-19,999","10000"
"234","White","South","Professional","Female","100,000-149,999","125000"
"235","White","South","Professional","Female","40,000- 49,999","45000"
"236","White","Northeast","Bachelors","Female","60,000-74,999","67500"
"237","White","Midwest","Secondary","Male","75,000-99,999","87500"
"238","White","Midwest","Secondary","Male","60,000-74,999","67500"
"239","Black","South","Secondary","Female","1-9,999","5000"
"240","White","South","Bachelors","Female","20,000- 29,999","25000"
"241","Black","South","Secondary","Female","10,000-19,999","10000"
"242","White","South","Secondary","Female","40,000-59,999","55000"
"243","White","South","Masters","Female","150,000 +","200000"
"244","Other","Midwest","Professional","Female","20,000- 29,999","25000"
"245","White","West","Secondary","Male","20,000- 29,999","25000"
"246","White","Northeast","Secondary","Female","20,000- 29,999","25000"
"247","Black","Midwest","Secondary","Male","20,000- 29,999","25000"
"248","Black","South","Primary","Female","1-9,999","5000"
"249","White","South","Bachelors","Female","60,000-74,999","67500"
"250","White","South","Secondary","Female","20,000- 29,999","25000"
"251","White","West","Bachelors","Male","10,000-19,999","10000"
"252","Other","Midwest","Secondary","Male",NA,NA
"253","White","South","Masters","Female","150,000 +","200000"
"254","White","West","Bachelors","Female","30,000-39,999","35000"
"255","White","Northeast","Masters","Female","150,000 +","200000"
"256","White","South","Secondary","Male","20,000- 29,999","25000"
"257","White","Northeast","Secondary","Female",NA,NA
"258","Black","Midwest","Secondary","Male","20,000- 29,999","25000"
"259","Hispanic","South","Secondary","Female","10,000-19,999","10000"
"260","White","Midwest","Secondary","Female","75,000-99,999","87500"
"261","White","West","Secondary","Female","100,000-149,999","125000"
"262","White","Midwest","Bachelors","Female","100,000-149,999","125000"
"263","White","Midwest","Professional","Female","150,000 +","200000"
"264","Hispanic","South","Primary","Female","1-9,999","5000"
"265","White","Midwest","Secondary","Female","150,000 +","200000"
"266","White","Midwest","Secondary","Female",NA,NA
"267","White","South","Secondary","Female","60,000-74,999","67500"
"268","White","South","Secondary","Male","40,000- 49,999","45000"
"269","White","Northeast","Bachelors","Female","75,000-99,999","87500"
"270","White","South","Secondary","Male","150,000 +","200000"
"271","White","South","Secondary","Female","20,000- 29,999","25000"
"272","Black","Midwest","Secondary","Male",NA,NA
"273","White","West","Secondary","Female","20,000- 29,999","25000"
"274","White","Midwest","Bachelors","Female","40,000- 49,999","45000"
"275","Hispanic","South","Bachelors","Male","30,000-39,999","35000"
"276","White","South","Masters","Female","75,000-99,999","87500"
"277","White","South","Professional","Female","75,000-99,999","87500"
"278","White","Midwest","Primary","Male","30,000-39,999","35000"
"279","White","West","Bachelors","Female","75,000-99,999","87500"
"280","Hispanic","West","Secondary","Female","60,000-74,999","67500"
"281","Other","West","Secondary","Male","20,000- 29,999","25000"
"282","White","South","Secondary","Female","10,000-19,999","10000"
"283","Other","West","Secondary","Male","60,000-74,999","67500"
"284","White","West","Secondary","Female","1-9,999","5000"
"285","White","South","Bachelors","Male","1-9,999","5000"
"286","White","South","Secondary","Male","1-9,999","5000"
"287","Black","South","Secondary","Male","20,000- 29,999","25000"
"288","White","South","Professional","Female","100,000-149,999","125000"
"289","Hispanic","South","Bachelors","Male","150,000 +","200000"
"290","Other","Midwest","Secondary","Female","20,000- 29,999","25000"
"291","White","Midwest","Professional","Female","75,000-99,999","87500"
"292","Black","South","Secondary","Male","60,000-74,999","67500"
"293","White","South","Bachelors","Female","75,000-99,999","87500"
"294","Other","South","Secondary","Female",NA,NA
"295","White","West","Masters","Female","150,000 +","200000"
"296","White","Midwest","Secondary","Female","1-9,999","5000"
"297","White","West","Bachelors","Male","60,000-74,999","67500"
"298","White","Northeast","Masters","Female","40,000- 49,999","45000"
"299","White","West","Bachelors","Male","100,000-149,999","125000"
"300","Other","South","Secondary","Male",NA,NA
"301","White","South","Masters","Male","60,000-74,999","67500"
"302","Asian/Pacific Islander","South","Professional","Female","100,000-149,999","125000"
"303","White","West","Secondary","Male","60,000-74,999","67500"
"304","White","Northeast","Masters","Female","100,000-149,999","125000"
"305","White","South","Masters","Male","40,000-59,999","55000"
"306","White","Midwest","Primary","Female","20,000- 29,999","25000"
"307","Hispanic","South","Bachelors","Female","60,000-74,999","67500"
"308","Hispanic","South","Bachelors","Female","150,000 +","200000"
"309","White","Midwest","Professional","Female","60,000-74,999","67500"
"310","White","South","Secondary","Female","60,000-74,999","67500"
"311","White","Midwest","Secondary","Female","60,000-74,999","67500"
"312","White","South","Secondary","Female","20,000- 29,999","25000"
"313","White","South","Bachelors","Female",NA,NA
"314","White","South","Secondary","Male","20,000- 29,999","25000"
"315","Asian/Pacific Islander","South","Masters","Male",NA,NA
"316","White","Northeast","Primary","Male","150,000 +","200000"
"317","White","South","Secondary","Male",NA,NA
"318","Hispanic","Midwest","Bachelors","Male","20,000- 29,999","25000"
"319","Black","South","Primary","Male","40,000-59,999","55000"
"320","White","South","Secondary","Female","75,000-99,999","87500"
"321","Black","South","Secondary","Male","40,000-59,999","55000"
"322","White","South","Professional","Male","150,000 +","200000"
"323","White","Midwest","Primary","Female","10,000-19,999","10000"
"324","Asian/Pacific Islander","Midwest","Secondary","Female","20,000- 29,999","25000"
"325","Asian/Pacific Islander","West","Masters","Female","150,000 +","200000"
"326","White","Midwest","Secondary","Female","30,000-39,999","35000"
"327","White","South","Masters","Female","75,000-99,999","87500"
"328","White","Midwest","Bachelors","Female","60,000-74,999","67500"
"329","White","South","Bachelors","Female","75,000-99,999","87500"
"330","Asian/Pacific Islander","South","Secondary","Female","150,000 +","200000"
"331","White","South","Bachelors","Female","60,000-74,999","67500"
"332","White","Northeast","Secondary","Male","30,000-39,999","35000"
"333","White","Midwest","Bachelors","Male","60,000-74,999","67500"
"334","White","West","Masters","Male","150,000 +","200000"
"335","White","Midwest","Masters","Female",NA,NA
"336","White","Midwest","Masters","Male","100,000-149,999","125000"
"337","White","Northeast","Secondary","Female","100,000-149,999","125000"
"338","Asian/Pacific Islander","South","Bachelors","Male","60,000-74,999","67500"
"339","White","South","Primary","Female","10,000-19,999","10000"
"340","White","South","Bachelors","Female","75,000-99,999","87500"
"341","White","South","Bachelors","Male","100,000-149,999","125000"
"342","White","South","Secondary","Female","60,000-74,999","67500"
"343","White","West","Masters","Female","40,000-59,999","55000"
"344","Black","South","Primary","Female","1-9,999","5000"
"345","Other","Midwest","Professional","Female","150,000 +","200000"
"346","White","Midwest","Bachelors","Female","100,000-149,999","125000"
"347","Black","South","Masters","Male","100,000-149,999","125000"
"348","White","Northeast","Masters","Female","40,000-59,999","55000"
"349","White","Midwest","Bachelors","Female","100,000-149,999","125000"
"350","Black","South","Masters","Male","60,000-74,999","67500"
"351","Hispanic","South","Secondary","Male","75,000-99,999","87500"
"352","Asian/Pacific Islander","South","Masters","Male","10,000-19,999","10000"
"353","White","Midwest","Bachelors","Male","30,000-39,999","35000"
"354","Black","Midwest","Bachelors","Male","75,000-99,999","87500"
"355","White","South","Bachelors","Male","40,000-59,999","55000"
"356","White","South","Secondary","Female","20,000- 29,999","25000"
"357","White","West","Bachelors","Male","60,000-74,999","67500"
"358","Black","South","Secondary","Female","20,000- 29,999","25000"
"359","Hispanic","West","Bachelors","Female","100,000-149,999","125000"
"360","White","South","Bachelors","Male","100,000-149,999","125000"
"361","White","Midwest","Professional","Female","75,000-99,999","87500"
"362","White","Midwest","Secondary","Female","150,000 +","200000"
"363","White","Midwest","Bachelors","Male",NA,NA
"364","White","Midwest","Secondary","Male",NA,NA
"365","Other","West","Secondary","Female","40,000-59,999","55000"
"366","White","West","Secondary","Female","40,000-59,999","55000"
"367","White","Midwest","Bachelors","Male","100,000-149,999","125000"
"368","White","West","Secondary","Female","40,000-59,999","55000"
"369","Black","South","Primary","Female","1-9,999","5000"
"370","White","South","Primary","Female","10,000-19,999","10000"
"371","White","South","Masters","Male","100,000-149,999","125000"
"372","White","South","Masters","Male","150,000 +","200000"
"373","White","West","Professional","Female","60,000-74,999","67500"
"374","Black","Midwest","Primary","Female","20,000- 29,999","25000"
"375","Other","Midwest","Primary","Male","20,000- 29,999","25000"
"376","White","South","Bachelors","Male","150,000 +","200000"
"377","White","South","Bachelors","Female","150,000 +","200000"
"378","White","Midwest","Bachelors","Male","100,000-149,999","125000"
"379","White","Midwest","Masters","Male","100,000-149,999","125000"
"380","Hispanic","South","Bachelors","Female","100,000-149,999","125000"
"381","Black","South","Secondary","Female","10,000-19,999","10000"
"382","Other","South","Secondary","Female","100,000-149,999","125000"
"383","Black","South","Secondary","Male","1-9,999","5000"
"384","White","Midwest","Secondary","Male","40,000- 49,999","45000"
"385","Hispanic","Midwest","Professional","Female","30,000-39,999","35000"
"386","Hispanic","Midwest","Secondary","Female",NA,NA
"387","Black","South","Secondary","Male",NA,NA
"388","Asian/Pacific Islander","South","Masters","Male","60,000-74,999","67500"
"389","Hispanic","South","Secondary","Male","40,000-59,999","55000"
"390","White","Midwest","Secondary","Male","100,000-149,999","125000"
"391","Hispanic","Midwest","Primary","Female","40,000- 49,999","45000"
"392","Black","South","Secondary","Female","10,000-19,999","10000"
"393","Other","Midwest","Primary","Female",NA,NA
"394","White","South","Primary","Female","100,000-149,999","125000"
"395","Other","South","Primary","Female","1-9,999","5000"
"396","Hispanic","Midwest","Secondary","Male","1-9,999","5000"
"397","White","Midwest","Secondary","Male","40,000-59,999","55000"
"398","White","South","Secondary","Female","20,000- 29,999","25000"
"399","White","Midwest","Secondary","Female",NA,NA
"400","White","Midwest","Bachelors","Female","60,000-74,999","67500"
"401","White","West","Professional","Male","75,000-99,999","87500"
"402","White","South","Secondary","Male","40,000- 49,999","45000"
"403","Other","South","Secondary","Male","40,000- 49,999","45000"
"404","Other","South","Secondary","Female","40,000- 49,999","45000"
"405","Hispanic","West","Secondary","Female","1-9,999","5000"
"406","White","South","Bachelors","Male","100,000-149,999","125000"
"407","Other","South","Primary","Female","10,000-19,999","10000"
"408","White","South","Secondary","Female","20,000- 29,999","25000"
"409","White","South","Professional","Male","40,000- 49,999","45000"
"410","White","Northeast","Secondary","Male","30,000-39,999","35000"
"411","Hispanic","Midwest","Primary","Male","1-9,999","5000"
"412","White","South","Masters","Female","60,000-74,999","67500"
"413","White","South","Primary","Male","20,000- 29,999","25000"
"414","White","West","Bachelors","Male",NA,NA
"415","Hispanic","Midwest","Bachelors","Female","40,000-59,999","55000"
"416","White","South","Secondary","Female","10,000-19,999","10000"
"417","White","Midwest","Secondary","Male","60,000-74,999","67500"
"418","White","South","Bachelors","Female","100,000-149,999","125000"
"419","White","Midwest","Professional","Male","40,000-59,999","55000"
"420","White","South","Secondary","Male","60,000-74,999","67500"
"421","White","Midwest","Secondary","Female","60,000-74,999","67500"
"422","Black","Midwest","Secondary","Male","60,000-74,999","67500"
"423","Hispanic","South","Secondary","Female","10,000-19,999","10000"
"424","White","West","Bachelors","Male","150,000 +","200000"
"425","Black","South","Secondary","Female","60,000-74,999","67500"
"426","White","Midwest","Secondary","Male","20,000- 29,999","25000"
"427","White","Midwest","Masters","Female","40,000- 49,999","45000"
"428","Hispanic","South","Secondary","Male","10,000-19,999","10000"
"429","White","South","Secondary","Female",NA,NA
"430","White","Midwest","Secondary","Female","20,000- 29,999","25000"
"431","White","Northeast","Secondary","Female","40,000- 49,999","45000"
"432","White","West","Bachelors","Female","100,000-149,999","125000"
"433","Other","West","Secondary","Female",NA,NA
"434","White","Midwest","Bachelors","Male","100,000-149,999","125000"
"435","White","Midwest","Secondary","Female","100,000-149,999","125000"
"436","White","Northeast","Secondary","Male","20,000- 29,999","25000"
"437","Asian/Pacific Islander","Midwest","Professional","Male","150,000 +","200000"
"438","White","South","Secondary","Female",NA,NA
"439","Hispanic","Midwest","Professional","Female","75,000-99,999","87500"
"440","Black","West","Professional","Female","60,000-74,999","67500"
"441","White","Midwest","Primary","Female","10,000-19,999","10000"
"442","White","Midwest","Bachelors","Female","75,000-99,999","87500"
"443","Black","South","Secondary","Female",NA,NA
"444","White","Midwest","Professional","Male","60,000-74,999","67500"
"445","Hispanic","South","Primary","Male","20,000- 29,999","25000"
"446","White","Midwest","Secondary","Female","75,000-99,999","87500"
"447","White","West","Bachelors","Female","30,000-39,999","35000"
"448","Hispanic","West","Secondary","Female","20,000- 29,999","25000"
"449","White","South","Professional","Male","100,000-149,999","125000"
"450","White","South","Bachelors","Female","75,000-99,999","87500"
"451","Black","South","Secondary","Male","1-9,999","5000"
"452","Black","Midwest","Primary","Female","40,000- 49,999","45000"
"453","White","Northeast","Secondary","Female","20,000- 29,999","25000"
"454","White","South","Professional","Female","60,000-74,999","67500"
"455","Other","South","Secondary","Female","20,000- 29,999","25000"
"456","White","Northeast","Bachelors","Female","150,000 +","200000"
"457","Hispanic","South","Bachelors","Female",NA,NA
"458","Black","South","Secondary","Male","40,000-59,999","55000"
"459","White","Midwest","Bachelors","Female","100,000-149,999","125000"
"460","White","Midwest","Secondary","Female","20,000- 29,999","25000"
"461","Black","Midwest","Bachelors","Male","30,000-39,999","35000"
"462","Other","Northeast",NA,"Female",NA,NA
"463","White","Northeast","Secondary","Male","60,000-74,999","67500"
"464","White","West","Secondary","Female","1-9,999","5000"
"465","White","South","Professional","Male","10,000-19,999","10000"
"466","White","South","Secondary","Male","75,000-99,999","87500"
"467","Other","South","Primary","Male","40,000- 49,999","45000"
"468","White","South","Masters","Male","150,000 +","200000"
"469","White","Northeast","Masters","Female","150,000 +","200000"
"470","Other","Midwest","Professional","Male","20,000- 29,999","25000"
"471","White","South","Primary","Male","75,000-99,999","87500"
"472","White","South","Professional","Male","75,000-99,999","87500"
"473","White","Midwest","Secondary","Female","40,000- 49,999","45000"
"474","Hispanic","South","Secondary","Female","1-9,999","5000"
"475","White","South","Masters","Female","40,000- 49,999","45000"
"476","White","Midwest","Bachelors","Male","75,000-99,999","87500"
"477","Black","South","Masters","Female","30,000-39,999","35000"
"478","White","Northeast","Professional","Female","30,000-39,999","35000"
"479","Black","South","Primary","Male",NA,NA
"480","White","West","Secondary","Male","100,000-149,999","125000"
"481","Hispanic","South","Bachelors","Female","40,000- 49,999","45000"
"482","White","West","Secondary","Male","60,000-74,999","67500"
"483","White","South","Secondary","Female","10,000-19,999","10000"
"484","Black","South","Primary","Female","30,000-39,999","35000"
"485","White","South","Masters","Male","40,000- 49,999","45000"
"486","Hispanic","Midwest","Secondary","Female","150,000 +","200000"
"487","White","Northeast","Secondary","Female","75,000-99,999","87500"
"488","White","South","Secondary","Female","40,000-59,999","55000"
"489","White","South","Secondary","Female",NA,NA
"490","Black","South","Secondary","Male","20,000- 29,999","25000"
"491","White","West","Secondary","Male","150,000 +","200000"
"492","Black","South","Secondary","Female","40,000-59,999","55000"
"493","White","Northeast","Bachelors","Male","40,000-59,999","55000"
"494","White","Midwest","Secondary","Female","40,000-59,999","55000"
